year,authors,title,first_author,journal,citations,tags
2021,"Giebel, Rodgers, Barr, Collins, Akpan, Shenton, Fuller, Gabbay, ",Does Social Support Affect Older Adults' General Practitioner Attendance Rates? Findings from the North West Coast Household Health Survey.,Giebel,Clin Gerontol,3,CHI | HACAL | IPH | Public Advisor
2024,"Popa, Young, Rousseau, Cherry, Jenkins, Cloke, Pettitt, Jenkinson, Ahmed, Pemberton, Sherratt, ",Consultations about randomised controlled trials are shorter and less in-depth for socioeconomically disadvantaged patients compared to socioeconomically advantaged patients: qualitative analysis across three trials.,Popa,Trials,0,HACAL | Public Advisor
2023,"Xiang, Goffe, Albani, Akhter, Lake, Brown, ",Out-of-home food environment and the COVID-19 pandemic: an interrupted time-series analysis in England 2019–2021,Xiang,SN Business &amp; Economics,???,EPHC
2021,"Alexiou, Fahy, Mason, Bennett, Brown, Bambra, Taylor-Robinson, Barr, ",Local government funding and life expectancy in England: a longitudinal ecological study.,Alexiou,Lancet Public Health,61,IPH
2020,"Firdous, Darwin, Hassan, ",Muslim women's experiences of maternity services in the UK: qualitative systematic review and thematic synthesis.,Firdous,BMC Pregnancy Childbirth,25,HACAL
2020,"Peel, Jones, Miller, Gibson, ",Great expectations? A qualitative study of health professionals' perspectives on breaking bad news about rehabilitation potential after traumatic brain injury or spinal injury.,Peel,Disabil Rehabil,9,CLAHRC
2020,"Rose, Adams, Whitehead, Wickham, O'Brien, Hawker, Taylor-Robinson, Violato, Barr, ",Neighbourhood unemployment and other socio-demographic predictors of emergency hospitalisation for infectious intestinal disease in England: A longitudinal ecological study.,Rose,J Infect,7,IPH
2024,"Harris, Banks, Edwards, Hurst, Hill, ",Active video games as an adjunct to pulmonary rehabilitation of patients with Chronic Obstructive Pulmonary  Disease: a commentary on a systematic review,Harris,Journal of the Association of Chartered Physiotherapists in Respiratory Care,???,MIDAS
2016,"Nolan, Sudell, Tudur Smith, Marson, ",Topiramate versus carbamazepine monotherapy for epilepsy: an individual participant data review.,Nolan,Cochrane Database Syst Rev,6,CLAHRC
2018,"Pennington, Collins, Leigh, Martin, Owen, Fischer, Sumnall, Bates, ",The cost-effectiveness of seven behavioural interventions to prevent drug misuse in vulnerable populations.,Pennington,Int J Drug Policy,3,CLAHRC
2016,"Maden, ",Consideration of health inequalities in systematic reviews: a mapping review of guidance.,Maden,Syst Rev,13,CLAHRC
2023,"Khan, Al-Izzi, Montasem, Gordon, Brown, Goldthorpe, ",The feasibility of identifying health inequalities in social prescribing referrals and declines using primary care patient records.,Khan,NIHR Open Res,2,EPHC
2023,"Bucci, Mbizvo, Rivera-Caravaca, Mayer, Marson, Abdul-Rahim, Lip, ",Epilepsy-Heart Syndrome: Incidence and Clinical Outcomes of Cardiac Complications in patients with Epilepsy.,Bucci,Curr Probl Cardiol,6,PCCC
2017,"Bromley, Weston, Marson, ",Maternal Use of Antiepileptic Agents During Pregnancy and Major Congenital Malformations in Children.,Bromley,JAMA,44,CLAHRC
2023,"Giebel, de Boer, Gabbay, Marlow, Stoop, Gerritsen, Verbeek, ","""Because if I don't hold his hand then I might as well not be there"": Experiences of Dutch and UK care home visiting during the COVID-19 pandemic.",Giebel,Int Psychogeriatr,15,HACAL | Public Advisor
2022,"Piroddi, Downing, Duckworth, Barr, ",The impact of an integrated care intervention on mortality and unplanned hospital admissions in a disadvantaged community in England: A difference-in-differences study.,Piroddi,Health Policy,5,IPH | PCCC
2017,"Gire, Farooq, Naeem, Duxbury, McKeown, Kundi, Chaudhry, Husain, ",mHealth based interventions for the assessment and treatment of psychotic disorders: a systematic review.,Gire,Mhealth,???,CLAHRC
2023,"Chirico, Pappadà, Giebel, Ottoboni, Valente, Gabbay, Chattat, ",The impact of COVID-19 restrictions and care home strategies on residents with dementia as experienced by family carers in Italy.,Chirico,Aging Ment Health,10,HACAL
2022,"Harrison, Thetford, Reeves, Brown, Joshi, Watkins, ",Returning to Leisure Activity Post-Stroke: Barriers and Facilitators to Engagement.,Harrison,Int J Environ Res Public Health,3,IMPACT | MIDAS
2019,"Hughes, Bonnett, Marson, García-Fiñana, ",Identifying patients who will not reachieve remission after breakthrough seizures.,Hughes,Epilepsia,6,CLAHRC
2020,"Hill, Christian, Shaw, Clegg, ",Weight loss interventions as an option for a lifestyle treatment in urinary incontinence.,Hill,Br J Community Nurs,0,MIDAS | MIDAS RaCES
2017,"Allen, Lowe, Harris, Brown, Rogers, ",Is social inequality related to different patient concerns in routine oral cancer follow-up clinics?,Allen,Eur Arch Otorhinolaryngol,13,CLAHRC
2021,"Nathan, Gabbay, Boyle, Elliott, Giebel, O'Loughlin, Wilson, Saini, ",Use of Acute Psychiatric Hospitalisation: A Study of the Factors Influencing Decisions to Arrange Acute Admission to Inpatient Mental Health Facilities.,Nathan,Front Psychiatry,12,HACAL
2021,"Giebel, Pulford, Cooper, Lord, Shenton, Cannon, Shaw, Tetlow, Limbert, Callaghan, Whittington, Rogers, Komuravelli, Rajagopal, Eley, Downs, Reilly, Ward, Gaughan, Butchard, Beresford, Watkins, Bennett, Gabbay, ",COVID-19-related social support service closures and mental well-being in older adults and those affected by dementia: a UK longitudinal survey.,Giebel,BMJ Open,76,HACAL | Public Advisor
2024,"Williams, Collins, Comerford, Dodd, Fisher, Hardwick, Hennessy, Jolly, Jones, Lane, Lip, Morgan, Ralph, Thijssen, Singh, ",Effectiveness and cost-effectiveness of a web-based cardiac rehabilitation programme for people with chronic stable angina: protocol for the ACTIVATE (Angina Controlled Trial Investigating the Value of the 'Activate your heart' Therapeutic E-intervention) randomised controlled trial.,Williams,BMJ Open,0,PCCC
2019,"Mahdi, Dembinsky, Bristow, Slade, ",Approaches to the prevention of postnatal depression and anxiety - a review of the literature.,Mahdi,J Psychosom Obstet Gynaecol,5,CLAHRC
2017,"Ohly, Crossland, Dykes, Lowe, Hall-Moran, ",A realist review to explore how low-income pregnant women use food vouchers from the UK's Healthy Start programme.,Ohly,BMJ Open,16,CLAHRC
2024,"Budd, Gardner, Bhutani, Hann, Chauhan, Jaber, Shabir, Benedetto, Clegg, Ismail, Lunat, ",Mental health prevention and promotion in general practice settings: A protocol for a feasibility study,Budd,Mental Health &amp; Prevention,0,MIDAS
2021,"McElroy, Ashton, Bagnall, Comerford, McKeown, Patalay, Pennington, South, Wilson, Corcoran, ","The individual, place, and wellbeing - a network analysis.",McElroy,BMC Public Health,19,HACAL | Public Advisor
2022,"Doherty, Harrison, Christian, Boland, Harris, Hill, Stephani, Reed, Duffield, Marson, Clegg, ",The prevalence of comorbidities in epilepsy: a systematic review,Doherty,British Journal of Neuroscience Nursing,???,MIDAS | PCCC
2016,"Shiels, Gabbay, Hillage, ",Change in diagnosis on fit notes within an episode of certified sickness absence.,Shiels,Fam Pract,2,CLAHRC
2022,"Ujhelyi Gomez, Goodwin, Chisholm, Rose, ","Alcohol use during pregnancy and motherhood: Attitudes and experiences of pregnant women, mothers, and healthcare professionals.",Ujhelyi Gomez,PLoS One,7,MIDAS
2019,"Worsley, McIntyre, Corcoran, ","Cyberbullying victimisation and mental distress: testing the moderating role of attachment security, social support, and coping styles",Worsley,Emotional and Behavioural Difficulties,45,CLAHRC
2023,"Chica, Hill, ",Effectiveness of zinc therapy for the treatment of pressure ulcers.,Chica,Br J Community Nurs,0,MIDAS | MIDAS RaCES
2024,"Mechie, Ujhelyi Gomez, Harrison, Hill, ",The link between social care deficiencies and healthcare pressures,Mechie,British Journal of Healthcare Management,1,MIDAS
2022,"Jones, Baqai, Clegg, Georgiou, Harris, Holland, Kalkonde, Lightbody, Maulik, Srivastava, Pandian, Kulsum, Sylaja, Watkins, Hackett, ","Stroke in India: A systematic review of the incidence, prevalence, and case fatality.",Jones,Int J Stroke,52,MIDAS
2021,"Porroche-Escudero, Popay, ",The Health Inequalities Assessment Toolkit: supporting integration of equity into applied health research.,Porroche-Escudero,J Public Health (Oxf),11,IPH | MIDAS
2018,"Gibson, Thomas, Harrison, Watkins, ",Stroke survivors' and carers' experiences of a systematic voiding programme to treat urinary incontinence after stroke.,Gibson,J Clin Nurs,8,CLAHRC
2021,"Hamer, Hill, Harrison, ",Blood pressure targets: comparing lower versus standard targets for people with hypertension.,Hamer,Br J Card Nurs,0,MIDAS | MIDAS RaCES
2024,"Morris, Roper, Lloyd, Shillito, Dixon, Marson, Noble, ","""In the wilderness…dealing with difficult situations"": Knowledge exchange with care home staff in England on managing seizures and epilepsy - An initial exploration.",Morris,Epilepsy Behav,0,PCCC | Public Advisor
2023,"Hamer, Abouzaid, Hill, ",Intermittent fasting for the prevention of cardiovascular disease: implications for clinical practice.,Hamer,Br J Card Nurs,???,MIDAS | MIDAS RaCES
2019,"Giebel, Medley, Smith, Thornton, Furlong, Ennis, Young, ",Communicating psychosocial well-being in motor neurone disease to staff: results from a World Café approach.,Giebel,Qual Life Res,1,CLAHRC | Public Advisor
2023,"Owen, Fahy, Barr, ","Evaluating the impact on physical inactivity of Together an Active Future, a partnership approach to physical activity promotion. A difference-in-differences study.",Owen,J Epidemiol Community Health,0,IPH
2017,"Hanna, Rowe, ",Clinical versus Evidence-based Rehabilitation Options for Post-stroke Visual Impairment.,Hanna,Neuroophthalmology,10,CLAHRC
2020,"Hill, Harrison, Raj, Gregary, Timoroksa, Gibson, ","Mediators, confounders and effectiveness of interventions for medication adherence after stroke.",Hill,Br J Neurosci Nurs,???,MIDAS | MIDAS RaCES
2018,"Pirmohamed, ",Nucleic acid based therapies: developing frontier for precision medicine.,Pirmohamed,BMJ,0,CLAHRC
2024,"Young, Leboeuf-Yde, Gorrell, Bergström, Evans, Axén, Chance-Larsen, Gagey, Georgopoulos, Goncalves, Harris, Harsted, Kerry, Lee, McCarthy, Nim, Nyirö, Schweinhardt, Vogel, ","Mechanisms of manipulation: a systematic review of the literature on immediate anatomical structural or positional changes in response to manually delivered high-velocity, low-amplitude spinal manipulation.",Young,Chiropr Man Therap,0,MIDAS
2021,"Teodorowski, Jones, Tahir, Ahmed, Frith, ",Public involvement and engagement in big data research: protocol for a scoping review and a systematic review of delivery and effectiveness of strategies for involvement and engagement.,Teodorowski,BMJ Open,6,CHI | Public Advisor
2022,"Zhang, Owen, Green, Buchan, Barr, ","Evaluating the impacts of tiered restrictions introduced in England, during October and December 2020 on COVID-19 cases: a synthetic control study.",Zhang,BMJ Open,7,IPH
2024,"McCarney, Brennan, Bunting, Hill, Hill, ",The effect of corticosteroid injections in the treatment of greater trochanteric pain syndrome: lessons for advanced practitioners,McCarney,International Journal for Advancing Practice,???,MIDAS | MIDAS RaCES
2018,"Lunt, Dowrick, Lloyd-Williams, ",The role of day care in supporting older people living with long-term conditions.,Lunt,Curr Opin Support Palliat Care,11,CLAHRC
2022,"Thompson, Geary, Rowney, Fry, Watkins, Wheeler, Mizen, Akbari, Lyons, Stratton, White, Rodgers, ",Cohort Profile: The Green and Blue Spaces (GBS) and mental health in Wales e-cohort.,Thompson,Int J Epidemiol,3,CHI
2024,"Nowland, Christian, Aspinall, Berzins, Khalid, Ahuja, Gallagher, Gee, Mickleburgh, Fernandes, Kelsall, Randell, Michelson, ",Children’s involvement in the development and evaluation of parent-focused mental health interventions: a scoping review protocol,Nowland,JBI Evidence Synthesis,0,IMPACT
2023,"Hassan, Ring, Goodall, Abba, Gabbay, van Ginneken, ",Social prescribing practices and learning across the North West Coast region: essential elements and key challenges to implementing effective and sustainable social prescribing services.,Hassan,BMC Health Serv Res,9,HACAL | IPH
2020,"Hanna, Mercer, Rowe, ",A qualitative exploration of the sociology of poststroke visual impairments and the associated health inequalities.,Hanna,Brain Behav,6,CLAHRC
2019,"Bresnahan, Hounsome, Jette, Hutton, Marson, ",Topiramate add-on therapy for drug-resistant focal epilepsy.,Bresnahan,Cochrane Database Syst Rev,18,PCCC
2018,"Maden, McMahon, Booth, Dickson, Paisley, Gabbay, ",Toward a theory-led metaframework for considering socioeconomic health inequalities within systematic reviews.,Maden,J Clin Epidemiol,3,CLAHRC
2022,"Hanna, Giebel, Cannon, Shenton, Mason, Tetlow, Marlow, Rajagopal, Gabbay, ",Working in a care home during the COVID-19 pandemic: How has the pandemic changed working practices? A qualitative study.,Hanna,BMC Geriatr,36,HACAL | Public Advisor
2020,"Palmer, Hill, Clegg, ",One in 10 hospitalised patients have a pressure injury worldwide.,Palmer,Evid Based Nurs,0,MIDAS | MIDAS RaCES
2024,"Kearney, Williamson, Dodd, ",A review of core outcome sets (COS) developed for different settings finds there is a subset of outcomes relevant for both research and routine care.,Kearney,J Clin Epidemiol,0,CHI
2023,"Raj, Sarvankar, Filipe, Benedetto, Mason, Dawber, Hill, Clegg, ",Cost-effectiveness of Levodopa-Carbidopa Intestinal Gel in treating people with Advanced Parkinson's disease.,Raj,Br J Neurosci Nurs,???,MIDAS | MIDAS RaCES
2021,"Dixon, Kallis, Grainger, Pearson, Tudur-Smith, Marson, ",Care After Presenting with Seizures (CAPS): An analysis of the impact of a seizure referral pathway and nurse support on neurology referral rates for patients admitted with a seizure.,Dixon,Seizure,1,CHI | PCCC
2021,"Williams, Rakovac, Victoria, Tatarinova, Corbex, Barr, Rose, Sturua, Obreja, Andreasyan, Shukurov, Gahraman, Mikkelsen, Berdzuli, Breda, ",Cervical cancer testing among women aged 30-49 years in the WHO European Region.,Williams,Eur J Public Health,7,IPH
2023,"Benedetto, Christian, McLoughlin, Smith, Miller, Hill, Lightbody, Watkins, ",Effects of physical fitness training on the mental and physical health of stroke survivors.,Benedetto,Br J Neurosci Nurs,???,IMPACT | MIDAS | MIDAS RaCES
2019,"Giebel, Hassan, McIntyre, Corcoran, Barr, Gabbay, Downing, Comerford, Alfirevic, ",Public involvement in the dissemination of the North West Coast Household Health Survey: Experiences and lessons of co-producing research together.,Giebel,Health Expect,6,CLAHRC | Public Advisor
2023,"Benedetto, Cadilhac, Spencer, Clegg, Lightbody, Maulik, Srivastava, Pandian, Sylaja, Watkins, ",Costs of Hospital Care for Strokes in India: A Scoping Review,Benedetto,The Indian Economic Journal,???,MIDAS
2021,"Leverton, Burton, Beresford-Dent, Rapaport, Manthorpe, Azocar, Giebel, Lord, Cooper, ",Supporting independence at home for people living with dementia: a qualitative ethnographic study of homecare.,Leverton,Soc Psychiatry Psychiatr Epidemiol,17,HACAL
2021,"Green, García-Fiñana, Barr, Burnside, Cheyne, Hughes, Ashton, Sheard, Buchan, ","Evaluating social and spatial inequalities of large scale rapid lateral flow SARS-CoV-2 antigen testing in COVID-19 management: An observational study of Liverpool, UK (November 2020 to January 2021).",Green,Lancet Reg Health Eur,48,IPH
2021,"Maćkowiak, Senczyszyn, Lion, Trypka, Małecka, Ciułkowicz, Mazurek, Świderska, Giebel, Gabbay, Rymaszewska, Szcześniak, ",The Experiences of People with Dementia and Informal Carers Related to the Closure of Social and Medical Services in Poland during the COVID-19 Pandemic-A Qualitative Study.,Maćkowiak,Healthcare (Basel),10,HACAL
2024,"Lowther-Payne, Whitcomb-Khan, Ward, Makri, Gaskins, Goldthorpe, Wheeler, ",Working in partnership to reduce re-offending and improve prison leavers’ lives: a process evaluation of a prison leaver pilot project,Lowther-Payne,Journal of Offender Rehabilitation,0,IMPACT
2020,"Doherty, Atherton, Boland, Hastings, Hives, Hood, James-Jenkinson, Leavey, Randell, Reed, Taggart, Wilson, Chauhan, ",Barriers and facilitators to primary health care for people with intellectual disabilities and/or autism: an integrative review.,Doherty,BJGP Open,107,MIDAS
2022,"Jones, Frith, Gabbay, Tahir, Hossain, Goodall, Bristow, Hassan, ",Remote working in public involvement: findings from a mixed methods study.,Jones,Res Involv Engagem,10,MIDAS | Public Advisor
2023,"Gonçalves, Filipe, Van Houtven, ",Trajectories of Disability and Long-Term Care Utilization After Acute Health Events.,Gonçalves,J Aging Soc Policy,2,MIDAS
2023,"McMahon, ",What shapes local health system actors' thinking and action on social inequalities in health? A meta-ethnography.,McMahon,Soc Theory Health,2,IMPACT
2022,"van der Feltz-Cornelis, Sweetman, Allsopp, Attree, Crooks, Cuthbertson, Forshaw, Gabbay, Green, Heightman, Hillman, Hishmeh, Khunti, Lip, Lorgelly, Montgomery, Strain, Wall, Watkins, Williams, Wootton, Banerjee, ","STIMULATE-ICP-Delphi (Symptoms, Trajectory, Inequalities and Management: Understanding Long-COVID to Address and Transform Existing Integrated Care Pathways Delphi): Study protocol.",van der Feltz-Cornelis,PLoS One,13,HACAL
2024,"Giebel, Silva‐Ribeiro, Watson, Volkmer, Chirico, Diaz, Heath, Hanna, Talbot, ",A Systematic Review on the Evidence of Misdiagnosis in Dementia and Its Impact on Accessing Dementia Care,Giebel,International Journal of Geriatric Psychiatry,0,HACAL
2022,"d'Elia, Gabbay, Rodgers, Kierans, Jones, Durrani, Thomas, Frith, ",Artificial intelligence and health inequities in primary care: a systematic scoping review and framework.,d'Elia,Fam Med Community Health,36,CHI | Public Advisor
2022,"Ritchie, Harrison, Penson, Akbari, Torabi, Hollinghurst, Harris, Oke, Akpan, Halcox, Rodgers, Lip, Lane, ",Prevalence and outcomes of atrial fibrillation in older people living in care homes in Wales: a routine data linkage study 2003-2018.,Ritchie,Age Ageing,8,CHI
2021,"Ali, Gabbay, Baillie, ",NICE public health guidance update.,Ali,J Public Health (Oxf),1,HACAL
2024,"Mayrhofer, Alderson, Sarma, Jackson, Olive, Toma, Mansuri, Waterfield, Crossen, Parker, Forder, Kaner, Miller, Gabbay, Akeju, McGovern, ",What are the Factors Influencing Service Provider Response to Working with Families Affected by Intimate Partner Violence and Abuse? A Qualitative Systematic Review of the Literature,Mayrhofer,Journal of Family Violence,0,HACAL
2022,"Shi, Goodall, Dumville, Hill, Norman, Hamer, Clegg, Watkins, Georgiou, Hodkinson, Lightbody, Dark, Cullum, ",The accuracy of pulse oximetry in measuring oxygen saturation by levels of skin pigmentation: a systematic review and meta-analysis.,Shi,BMC Med,63,HACAL | IMPACT | MIDAS
2018,"Nevitt, Marson, Tudur Smith, ",Carbamazepine versus phenobarbitone monotherapy for epilepsy: an individual participant data review.,Nevitt,Cochrane Database Syst Rev,8,CLAHRC
2023,"Bell, Hill, ",Diagnostic accuracy of early warning system scores in the prehospital setting.,Bell,J Paramed Pract,???,MIDAS | MIDAS RaCES
2022,"Giebel, Lion, Mackowiak, Chattat, Kumar, Cations, Gabbay, Moyle, Ottoboni, Rymaszewska, Senczyszyn, Szczesniak, Tetlow, Trypka, Valente, Chirico, ",A qualitative 5-country comparison of the perceived impacts of COVID-19 on people living with dementia and unpaid carers.,Giebel,BMC Geriatr,8,HACAL | Public Advisor
2022,"Bresnahan, Panebianco, Marson, ",Brivaracetam add-on therapy for drug-resistant epilepsy.,Bresnahan,Cochrane Database Syst Rev,5,PCCC
2016,"Maguire, Jackson, Marson, Nolan, ",Treatments for the prevention of Sudden Unexpected Death in Epilepsy (SUDEP).,Maguire,Cochrane Database Syst Rev,50,CLAHRC
2020,"Palmer, Hill, Clegg, ",There is inconsistency in the effect of empathy training for healthcare professionals and students.,Palmer,Evid Based Nurs,1,MIDAS | MIDAS RaCES
2023,"Filipe, Barnett, Piroddi, Buchan, Duckworth, Barr, ","Effects on mortality of shielding clinically extremely vulnerable patients in Liverpool, UK, during the COVID-19 pandemic.",Filipe,Public Health,0,IPH | MIDAS
2020,"Butters, Wilson, Garner, Burton, ",PUblications Metadata Augmentation (PUMA) pipeline.,Butters,F1000Res,1,CHI
2020,"Estecha Querol, Clarke, Sattler, Halford, Gabbay, ","Non-visible disease, the hidden disruptive experiences of chronic illness in adversity.",Estecha Querol,Int J Qual Stud Health Well-being,4,HACAL
2021,"Neligan, Adan, Nevitt, Pullen, Sander, Marson, ",Prognosis of adults and children following a first unprovoked seizure,Neligan,Cochrane Database of Systematic Reviews,2,PCCC
2024,"Tromans, Rybczynska-Bunt, Mitchell, Cummins, Cox, Downing, Lee, Teece, Marson, Shankar, ",Acceptability of virtual psychiatric consultations for routine follow-ups post COVID-19 pandemic for people with intellectual disabilities: cross-sectional study.,Tromans,BJPsych Open,0,PCCC
2018,"Rao, Smith, Martin, Dhadda, Stewart, Gollins, Collins, Athanasiou, Sun Myint, ",A Cost-Effectiveness Analysis of Contact X-ray Brachytherapy for the Treatment of Patients with Rectal Cancer Following a Partial Response to Chemoradiotherapy.,Rao,Clin Oncol (R Coll Radiol),11,CLAHRC
2024,"Woods, Doherty, Hill, ",Dietary interventions in autism: a critical appraisal and commentary on the findings of a systematic review,Woods,British Journal of Neuroscience Nursing,???,MIDAS | MIDAS RaCES
2021,"Hassan, Ring, Tahir, Gabbay, ",The impact of COVID-19 social distancing and isolation recommendations for Muslim communities in North West England.,Hassan,BMC Public Health,19,HACAL | Public Advisor
2021,"Hassan, Ring, Tahir, Gabbay, ",How do Muslim community members perceive Covid-19 risk reduction recommendations - a UK qualitative study?,Hassan,BMC Public Health,24,HACAL | Public Advisor
2020,"Simpson, Smith, Furlong, Ireland, Giebel, ",Supporting access to activities to enhance well-being and reduce social isolation in people living with motor neurone disease.,Simpson,Health Soc Care Community,10,HACAL | Public Advisor
2023,"Ali-Heybe, Mohamed, Hamer, Hill, ",Prehabilitation exercise therapy ahead of elective abdominal aortic aneurysm repair: A commentary of existing evidence to inform clinical practise.,Ali-Heybe,Br J Card Nurs,???,MIDAS | MIDAS RaCES
2022,"Brigo, Igwe, Bragazzi, Lattanzi, ",Clonazepam monotherapy for treating people with newly diagnosed epilepsy.,Brigo,Cochrane Database Syst Rev,2,HACAL
2022,"Giebel, Hassan, Harvey, Devitt, Harper, Simmill-Binning, ",Enabling middle-aged and older adults accessing community services to reduce social isolation: Community Connectors.,Giebel,Health Soc Care Community,18,HACAL
2020,"Hill, Stephani, Sapple, Clegg, ",The effectiveness of continuous quality improvement for developing professional practice and improving health care outcomes: a systematic review.,Hill,Implement Sci,68,MIDAS
2023,"Miller, Mcloughlin, Benedetto, Christian, Jones, Smith, Watkins, ",Diagnosis and treatment of dehydration after stroke: A synthesis of existing evidence.,Miller,Br J Neurosci Nurs,???,IMPACT | MIDAS
2022,"Ibiwoye, Hill, Thomson, ",The impacts of Covid-19 on perinatal mental health - Part 2.,Ibiwoye,Pract Midwife,???,MIDAS | MIDAS RaCES
2023,"Hamer, Hill, Kuroski, Gupta, Appleton, Georgiou, Thomson, Clegg, ",The effectiveness of neonatal early supported transfer to home interventions for parents and preterm infants in neonatal intensive care units: A systematic review and meta-analysis,Hamer,Journal of Neonatal Nursing,5,MIDAS | MIDAS RaCES
2022,"Poole, Hill, Harrison, Doherty, ",Barriers and facilitators faced by individuals with intellectual disabilities and/or autism when accessing primary healthcare.,Poole,Br J Neurosci Nurs,???,MIDAS | MIDAS RaCES
2020,"Benedetto, Whittaker, Wilson, Storey, Daune, ",Accelerated programmes in children's nursing to tackle the workforce gap in the United Kingdom: A cost-consequences analysis.,Benedetto,Nurse Educ Today,1,MIDAS
2022,"Benedetto, Hill, Harrison, ",Cost effectiveness of fall prevention programmes for older adults.,Benedetto,Br J Community Nurs,1,MIDAS | MIDAS RaCES
2024,"May, Harrison, Williams, Hill, ",Proximal humeral fracture: A commentary on systematic reviews of surgical versus non-surgical management in older adults,May,Physiotherapy Practice and Research,0,MIDAS | MIDAS RaCES
2021,"Williamson, Hack, Bangee, Benedetto, Beaver, ",The patient needs assessment in cancer care: identifying barriers and facilitators to implementation in the UK and Canada.,Williamson,Support Care Cancer,7,MIDAS
2020,"Rapaport, Burton, Leverton, Herat-Gunaratne, Beresford-Dent, Lord, Downs, Boex, Horsley, Giebel, Cooper, ","""I just keep thinking that I don't want to rely on people."" a qualitative study of how people living with dementia achieve and maintain independence at home: stakeholder perspectives.",Rapaport,BMC Geriatr,37,HACAL | MIDAS
2023,"Rose, Daras, Manley, McKeown, Halliday, Goodwin, Hollingsworth, Barr, ",The mental health and wellbeing impact of a Community Wealth Building programme in England: a difference-in-differences study.,Rose,Lancet Public Health,12,CHI | IPH
